tm,rnum,stnId,stnNm,ta,taQcflg,rn,rnQcflg,ws,wsQcflg,wd,wdQcflg,hm,hmQcflg,pv,td,pa,paQcflg,ps,psQcflg,ss,ssQcflg,icsr,dsnw,hr3Fhsc,dc10Tca,dc10LmcsCa,clfmAbbrCd,lcsCh,vs,gndSttCd,dmstMtphNo,ts,tsQcflg,m005Te,m01Te,m02Te,m03Te
2024-12-04 15:00,1,152,울산,9.0,,,,4.3,,270,,30,,3.5,-7.6,1008.0,,1017.9,,1.0,,1.41,,,0,0,,,3899,,,8.6,,,,,
2024-12-04 16:00,2,152,울산,9.0,,,,2.4,,290,,29,,3.3,-8.1,1007.6,,1017.5,,1.0,,0.85,,,0,0,,,3975,,,6.6,,,,,
2024-12-04 17:00,3,152,울산,7.3,,,,1.8,,250,,33,,3.4,-7.9,1007.6,,1017.5,,0.5,,0.24,,,0,0,,,4582,,,3.5,,,,,
2024-12-04 18:00,4,152,울산,5.8,,,,2.3,,290,,37,,3.4,-7.7,1008.0,,1018.0,,0.0,,0.0,,,0,0,,,4065,,,1.5,,,,,
2025-06-04 12:00,1,152,울산,25.7,,,,4.2,,250,,21,,6.9,1.7,993.5,,1002.7,,1.0,,3.64,,,0,0,,,4601,,,34.9,,,,,
2025-06-04 13:00,2,152,울산,26.5,,,,3.4,,250,,23,,7.9,3.6,992.7,,1001.8,,1.0,,3.68,,,0,0,,,4329,,,38.5,,,,,
2025-06-04 14:00,3,152,울산,27.4,,,,3.1,,270,,22,,8.0,3.7,991.9,,1001.0,,1.0,,3.54,,,0,0,,,4361,,,39.4,,,,,
2025-06-04 15:00,4,152,울산,28.4,,,,3.8,,270,,18,,6.9,1.7,991.2,,1000.2,,1.0,,3.21,,,0,0,,,4415,,,38.8,,,,,
2025-06-04 16:00,5,152,울산,28.6,,,,3.4,,250,,17,,6.6,1.1,990.9,,999.9,,1.0,,2.65,,,0,0,,,4395,,,36.9,,,,,
2025-11-15 00:00,1,152,울산,9.0,,,,2.0,,20,,47,,5.4,-1.7,1012.1,,1022.0,,,9.0,,,,0,0,,,3622,,,5.5,,,,,
2025-11-15 01:00,2,152,울산,10.0,,,,2.7,,290,,48,,5.9,-0.5,1012.5,,1022.4,,,9.0,,,,3,0,,,3373,,,5.6,,,,,
2025-11-15 02:00,3,152,울산,8.8,,,,2.0,,290,,53,,6.0,-0.2,1012.8,,1022.8,,,9.0,,,,3,0,,,3302,,,5.5,,,,,
2025-11-15 03:00,4,152,울산,8.4,,,,1.2,,290,,56,,6.2,0.1,1013.1,,1023.1,,,9.0,,,,7,0,Ci,,3264,,,5.4,,,,,
